Datum,Uur,humidity_relative,cloudiness,temp,pressure,kwh,Opkomst,Op ware middag,Ondergang
2023-03-11,15,54.833333333333336,6.0,6.85,1012.025,0.54,426,773,1120
2023-03-11,16,57.800000000000004,7.0,6.3,1011.625,0.4800000000000002,426,773,1120
2023-03-11,17,60.366666666666674,7.0,5.95,1011.5,0.15000000000000013,426,773,1120
2023-03-11,18,64.5,7.0,5.25,1011.85,0.010000000000000009,426,773,1120
2023-03-11,19,68.63333333333334,7.0,4.85,1011.65,0.0,426,773,1120
2023-03-11,20,68.39999999999999,7.0,4.8999999999999995,1011.7,0.0,426,773,1120
2023-03-11,21,69.6,7.0,4.7,1011.525,0.0,426,773,1120
2023-03-11,22,70.13333333333334,8.0,4.825,1011.325,0.0,426,773,1120
2023-03-11,23,70.39999999999999,8.0,4.7,1010.75,0.0,426,773,1120
2023-03-12,0,75.16666666666667,7.0,4.525,1010.25,0.0,424,772,1122
2023-03-12,1,80.39999999999999,8.0,4.3,1009.5,0.0,424,772,1122
2023-03-12,2,82.46666666666665,7.0,4.15,1008.975,0.0,424,772,1122
2023-03-12,3,86.66666666666667,7.0,4.25,1008.3499999999999,0.0,424,772,1122
2023-03-12,4,91.63333333333333,8.0,4.325,1007.95,0.0,424,772,1122
2023-03-12,5,95.2,8.0,4.9,1007.825,0.0,424,772,1122
2023-03-12,6,97.0,8.0,6.025,1008.0,0.0,424,772,1122
2023-03-12,7,96.56666666666666,6.0,7.725,1008.4749999999999,0.0,424,772,1122
2023-03-12,8,94.2,7.0,8.35,1009.0,0.09000000000000008,424,772,1122
2023-03-12,9,90.43333333333334,6.0,9.3,1009.6,0.30000000000000004,424,772,1122
2023-03-12,10,85.93333333333334,5.0,9.95,1009.975,0.6600000000000004,424,772,1122
2023-03-12,11,82.13333333333333,5.0,10.725,1010.2,1.2599999999999998,424,772,1122
2023-03-12,12,77.56666666666666,6.0,10.95,1010.1,0.8199999999999998,424,772,1122
2023-03-12,13,75.66666666666667,7.0,11.075,1009.45,1.0899999999999999,424,772,1122
2023-03-12,14,73.10000000000001,6.0,11.375,1009.5,0.8899999999999997,424,772,1122
2023-03-12,15,75.96666666666665,7.0,10.575,1009.575,0.2400000000000002,424,772,1122
2023-03-12,16,78.26666666666667,8.0,10.325,1009.35,0.08000000000000007,424,772,1122
2023-03-12,17,80.13333333333334,8.0,10.35,1008.95,0.019999999999999574,424,772,1122
2023-03-12,18,82.89999999999999,8.0,9.8,1008.5,0.0,424,772,1122
2023-03-12,19,85.46666666666665,7.0,9.475,1007.8,0.0,424,772,1122
2023-03-12,20,83.46666666666665,8.0,9.85,1007.0,0.0,424,772,1122
2023-03-12,21,81.33333333333333,8.0,10.225,1005.975,0.0,424,772,1122
2023-03-12,22,84.66666666666667,8.0,10.3,1004.55,0.0048000000000003595,424,772,1122
2023-03-12,23,89.2,8.0,10.175,1003.375,0.0,424,772,1122
2023-03-13,0,92.46666666666665,8.0,10.55,1002.125,0.0,422,772,1123
2023-03-13,1,93.43333333333334,7.0,11.2,1001.025,0.0,422,772,1123
2023-03-13,2,94.3,7.0,11.7,1000.225,0.0,422,772,1123
2023-03-13,3,91.8,7.0,12.525,999.575,0.0,422,772,1123
2023-03-13,4,88.89999999999999,8.0,12.85,999.325,0.0,422,772,1123
2023-03-13,5,83.8,7.0,12.9,998.625,0.0,422,772,1123
2023-03-13,6,82.3,8.0,12.475,998.35,0.0,422,772,1123
2023-03-13,7,85.60000000000001,7.0,12.425,998.2,0.0,422,772,1123
2023-03-13,8,86.89999999999999,6.0,13.025,998.025,0.07699999999999996,422,772,1123
2023-03-13,9,79.16666666666667,6.0,13.9,997.475,0.21479999999999944,422,772,1123
2023-03-13,10,75.76666666666667,5.0,14.225,996.825,0.8686000000000007,422,772,1123
2023-03-13,11,66.89999999999999,5.0,15.1,996.3499999999999,0.9964000000000022,422,772,1123
2023-03-13,12,60.333333333333336,6.0,15.025,996.25,0.9872999999999994,422,772,1123
2023-03-13,13,57.699999999999996,6.0,15.05,995.75,1.2155000000000005,422,772,1123
2023-03-13,14,58.06666666666666,3.0,15.125,994.75,1.8534000000000024,422,772,1123
2023-03-13,15,61.03333333333333,3.0,14.7,993.9,1.3303999999999974,422,772,1123
2023-03-13,16,59.13333333333333,3.0,14.575,992.825,1.2794000000000025,422,772,1123
2023-03-13,17,62.86666666666667,3.0,14.075000000000001,992.15,0.7086999999999986,422,772,1123
2023-03-13,18,66.2,3.0,12.75,991.825,0.06250000000000355,422,772,1123
2023-03-13,19,72.33333333333333,3.0,10.775,991.225,0.0,422,772,1123
2023-03-13,20,75.89999999999999,3.0,10.25,990.425,0.0,422,772,1123
2023-03-13,21,74.26666666666667,7.0,11.55,990.5,0.0,422,772,1123
2023-03-13,22,76.76666666666667,7.0,10.7,990.475,0.0,422,772,1123
2023-03-13,23,77.13333333333334,7.0,10.0,990.5,0.0,422,772,1123
2023-03-14,0,81.06666666666668,7.0,9.25,990.375,0.0,419,772,1125
2023-03-14,1,84.66666666666667,7.0,9.225,990.075,0.0,419,772,1125
2023-03-14,2,85.33333333333333,7.0,9.3,989.75,0.0,419,772,1125
2023-03-14,3,90.3,7.0,9.15,989.325,0.0,419,772,1125
2023-03-14,4,92.06666666666666,6.0,9.25,989.325,0.0,419,772,1125
2023-03-14,5,92.10000000000001,7.0,8.675,989.85,0.0,419,772,1125
2023-03-14,6,93.86666666666667,7.0,7.5,991.35,0.0,419,772,1125
2023-03-14,7,91.63333333333333,7.0,6.7,993.85,0.0,419,772,1125
2023-03-14,8,85.2,7.0,6.275,995.975,0.0,419,772,1125
2023-03-14,9,85.2,7.0,5.95,997.925,0.13860000000000383,419,772,1125
2023-03-14,10,83.46666666666667,7.0,6.0,999.75,0.15799999999999415,419,772,1125
2023-03-14,11,89.83333333333333,7.0,5.55,1001.5,0.17490000000000094,419,772,1125
2023-03-14,12,91.96666666666665,7.0,5.2,1003.225,0.15790000000000148,419,772,1125
2023-03-14,13,86.89999999999999,7.0,5.55,1004.8,0.316399999999998,419,772,1125
2023-03-14,14,75.43333333333334,7.0,5.4,1006.525,0.18840000000000146,419,772,1125
2023-03-14,15,69.76666666666667,7.0,5.575,1007.95,0.21689999999999898,419,772,1125
2023-03-14,16,69.36666666666667,6.0,6.075,1009.0,0.7584000000000017,419,772,1125
2023-03-14,17,71.53333333333333,3.0,6.0,1009.925,0.2986000000000004,419,772,1125
2023-03-14,18,78.60000000000001,3.0,5.225,1011.05,0.05100000000000193,419,772,1125
2023-03-14,19,81.89999999999999,5.0,4.2,1011.85,0.0,419,772,1125
2023-03-14,20,82.63333333333334,3.0,3.95,1012.375,0.0,419,772,1125
2023-03-14,21,83.86666666666666,7.0,3.45,1012.8,0.0,419,772,1125
2023-03-14,22,83.03333333333333,7.0,3.775,1012.925,0.0,419,772,1125
